G, JAN,  FEB,  MAR,  APR,  MAY,  JUN,  JUL,  AUG, SEP,  OCT,  NOV,  DEC
2008,,,,,,,,,,,,
1,  .,   .,   .,   .,3.2,   .,   .,   .,  .,   .,68.5,23.5
2,  .,   .,3.5,   .,28.6,   .,   .,   .,  .,   .,6.7,6.7
3,  .,27.5,   .,5.3,   .,   .,   .,   .,  .,   .,   .,15
4,  .,15.6,11.5,   .,   .,10,   .,   .,  .,21.1,   .,   .
5,  .,5.3,12.4,   .,3.9,33.2,8.2,   .,  .,   .,63.2,63.2
6,13.2,   .,   .,   .,6.2,6.9,   .,   .,  .,   .,11.2,11.2
7,24.8,   .,   .,   .,   .,4,   .,   .,  .,   .,14.1,1.4
8,4.8,   .,   .,5.2,   .,3,9.8,   .,  .,   .,4.9,   .
9,  .,   .,1.2,19.1,   .,   .,   .,7.8,  .,2.4,5.6,   .
10,  .,   .,   .,15.3,   .,   .,   .,   .,  .,   .,   .,3.5
11,  .,   .,19.2,23.2,   .,   .,   .,   .,  .,   .,   .,55.6
12,49.3,   .,15.6,17.5,   .,   .,   .,   .,  .,   .,3.2,74.9
13,26.8,   .,   .,29.8,   .,3.2,   .,   .,13.4,   .,18.1,23.1
14,4.5,   .,   .,   .,   .,3.8,10.7,   .,14.1,   .,14.8,14.8
15,  .,   .,   .,2.6,   .,2.9,1.2,   .,  .,   .,   .,10
16,34.5,   .,   .,15.8,   .,   .,   .,31.4,  .,   .,   .,22.7
17,29.7,   .,17.5,9.8,   .,   .,   .,   .,  .,6.1,   .,23.8
18,23.9,   .,5.2,10.4,2.5,38.1,3.9,   .,  .,32.6,   .,10
19,  .,   .,5,34.5,19.8,1,12.1,   .,  .,   .,   .,2.8
20,  .,   .,   .,2.1,7.7,2,   .,   .,  .,   .,   .,   .
21,  .,   .,   .,   .,6.5,   .,   .,   .,  .,   .,   .,   .
22,10,   .,54.6,32.8,14.6,   .,6.2,   .,  .,   .,   .,   .
23,2,   .,2.2,12.8,8.1,   .,   .,   .,  .,   .,   .,   .
24,  .,   .,32.2,7.6,15.2,   .,   .,5.7,  .,   .,   .,   .
25,  .,   .,5,   .,   .,   .,   .,   .,  .,   .,33.4,   .
26,  .,   .,1.3,6.2,   .,   .,   .,   .,  .,   .,   .,   .
27,  .,   .,5.9,   .,   .,   .,   .,   .,  .,   .,   .,   .
