G,  JAN,  FEB,  MAR,  APR,  MAY,  JUN,  JUL,  AUG,  SEP,  OCT,  NOV,  DEC
2008,,,,,,,,,,,,
1,   .,   .,   .,   .,   .,   .,   .,   .,   .,3.1,43.1,15
2,   .,   .,3.2,   .,33.4,   .,   .,   .,   .,   .,1,12.3
3,   .,22.3,   .,16.9,   .,   .,   .,   .,   .,   .,   .,14.2
4,   .,21.2,8.3,   .,0.4,3.1,   .,   .,   .,18.3,   .,   .
5,   .,3.3,34.5,   .,3.9,73.3,3.2,   .,   .,   .,29.8,15.3
6,15.2,   .,   .,   .,1.3,11.4,   .,   .,1.3,   .,12.1,58.4
7,21.2,   .,2.1,0.2,   .,3.3,0,   .,   .,   .,11.3,   .
8,6.3,   .,3.3,0.4,   .,3.4,0.2,   .,4.1,   .,3.3,   .
9,   .,   .,1.2,18.3,   .,   .,0.2,12.3,   .,1.2,4.2,   .
10,   .,   .,3.2,19.3,   .,   .,   .,   .,   .,   .,   .,3
11,   .,   .,31.3,18.3,   .,   .,   .,   .,   .,   .,   .,51.3
12,47.3,   .,14.2,13.2,   .,3.9,   .,   .,   .,   .,3.3,73.3
13,18.3,   .,   .,28.9,   .,1.2,   .,   .,10.3,   .,23.3,7.2
14,2.3,   .,   .,3.3,   .,2.3,13.4,   .,20.1,   .,12.4,7.9
15,   .,   .,   .,7.1,   .,1.4,2.1,   .,   .,   .,   .,9.3
16,23.3,   .,0.3,6.9,1.3,   .,   .,23.3,   .,   .,   .,19.8
17,33.2,   .,2.4,8.3,   .,   .,   .,   .,   .,11.3,   .,31.6
18,25.2,   .,3.3,18.3,3.6,48.3,9.4,   .,   .,10.3,   .,11.2
19,   .,   .,1.4,28.1,31.3,0.8,12.3,   .,   .,   .,   .,0.2
20,   .,   .,   .,   .,8.3,   .,   .,   .,   .,   .,   .,   .
21,   .,   .,   .,   .,13.1,   .,   .,   .,   .,   .,   .,   .
22,11.3,   .,31.3,38.2,12.2,   .,4.1,   .,   .,   .,   .,   .
23,2.1,   .,3.3,11.3,43.2,   .,   .,   .,   .,   .,   .,   .
24,   .,   .,43.2,8.1,8.3,   .,   .,3.9,   .,   .,   .,   .
25,   .,   .,6.4,   .,   .,   .,   .,   .,   .,   .,11.3,   .
26,   .,   .,1.2,18.3,   .,   .,   .,   .,   .,   .,1.2,   .
27,   .,   .,7.2,   .,   .,   .,   .,   .,   .,   .,   .,   .
28,   .,1.2,3.3,   .,   .,   .,   .,   .,   .,31.3,   .,   .
29,   .,   .,   .,2.2,   .,   .,   .,   .,   .,9.2,21.4,   .
30,   .,,   .,18.2,   .,   .,   .,   .,   .,16.3,13.3,   .
31,13.8,,   .,,0.1,,0.1,   .,,6.2,,   .
2009,,,,,,,,,,,,
1,8,   .,   .,10,   .,   .,2.2,   .,   .,   .,   .,8
2,19.3,11.2,3.7,12.3,   .,   .,7.3,   .,   .,5.6,   .,22.4
3,   .,57.4,1.2,4.4,5.1,   .,   .,   .,1.2,   .,73.4,   .
4,   .,31.3,3.2,   .,   .,12.3,6.7,41.8,2.1,   .,1.3,   .
5,   .,3.2,28.4,2.1,0.1,2,3.3,1.4,4.2,   .,32.3,5.3
6,   .,31.3,53.3,   .,   .,2.1,   .,   .,   .,   .,13.1,   .
7,   .,12.2,   .,   .,   .,8.2,8.3,   .,   .,   .,12.2,   .
8,6.3,22.3,   .,   .,   .,48.3,1.2,   .,   .,   .,   .,14.3
9,   .,8.3,   .,   .,   .,   .,1.7,   .,   .,   .,11.2,74.3
10,   .,   .,4.3,   .,   .,   .,1.2,   .,   .,1.4,9.4,   .
11,   .,31.3,   .,   .,   .,   .,1.9,11.4,   .,11.4,   .,   .
12,   .,2.4,1.1,   .,   .,6.3,   .,   .,   .,2.2,   .,   .
13,   .,   .,   .,   .,   .,   .,   .,   .,   .,23.3,   .,   .
14,5,   .,   .,   .,   .,   .,   .,4.5,   .,   .,   .,   .
15,7.3,   .,   .,   .,   .,   .,   .,   .,19.3,   .,1.4,2.1
16,   .,   .,   .,   .,2.2,   .,   .,   .,4.2,   .,   .,   .
17,   .,   .,   .,   .,   .,   .,   .,   .,44.3,   .,6.6,   .
18,2.3,   .,   .,   .,   .,   .,6,   .,   .,   .,4.2,   .
19,11.3,   .,   .,   .,   .,   .,19.3,   .,   .,   .,1.2,14.3
20,22.4,   .,3.2,2.1,   .,   .,   .,   .,   .,   .,   .,4.2
21,7.2,   .,   .,3.2,   .,22.3,   .,   .,   .,   .,   .,   .
22,14.7,   .,   .,   .,   .,   .,   .,   .,   .,2.1,   .,39.3
23,   .,   .,   .,   .,   .,1.3,   .,   .,   .,11.3,12.3,153.3
24,9.3,   .,   .,7.4,   .,2.4,   .,   .,   .,9.2,1.3,21.3
25,2.4,0.1,10.4,   .,   .,   .,   .,   .,   .,   .,   .,110.4
26,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,2.4,2.8
27,12.3,   .,   .,2.3,   .,   .,   .,   .,   .,   .,4.3,0.3
28,2.4,   .,4.4,3.7,0.2,3.3,   .,   .,   .,   .,8.2,   .
29,   .,,22.4,27.4,   .,7.2,   .,   .,   .,   .,   .,1.3
30,   .,,131.3,11.3,0.1,   .,   .,15.2,   .,   .,3.3,11.4
31,   .,,13.5,,   .,,   .,   .,,   .,,18.3
2010,,,,,,,,,,,,
1,9.4,   .,2.1,6.4,   .,28.2,   .,   .,   .,   .,10,15
2,28.3,   .,   .,0.2,   .,   .,   .,   .,   .,   .,6.3,23.3
3,2.4,   .,   .,2.3,53.4,6.2,   .,   .,   .,   .,3.3,8.2
4,   .,   .,2.3,   .,14.3,1.2,   .,1.2,   .,   .,   .,6.3
5,16.4,1.4,1.2,31.3,5.5,   .,   .,   .,   .,51.3,   .,   .
6,19.3,26.2,   .,   .,31.3,   .,   .,7.2,2.2,38.2,   .,3.3
7,13.6,2.2,   .,   .,4.5,   .,27.8,   .,4.3,   .,   .,73.2
8,8.4,   .,   .,   .,6.1,   .,   .,   .,3.7,   .,81.3,22.3
9,51.3,   .,   .,   .,4.3,   .,   .,   .,28.6,   .,20.3,21.3
10,35.4,   .,   .,   .,2.2,   .,   .,   .,   .,   .,25.2,2.3
11,   .,12.3,12.4,1.4,4.2,   .,   .,   .,   .,   .,12.3,0.2
12,   .,0.1,   .,   .,7.1,   .,   .,   .,   .,   .,2.2,   .
13,   .,   .,   .,   .,34.2,   .,   .,   .,   .,   .,   .,   .
14,   .,   .,   .,5.3,23.3,   .,   .,6.2,   .,0.1,1.3,   .
15,   .,   .,   .,1.4,2.1,   .,   .,13.3,   .,   .,   .,   .
16,   .,0,   .,   .,2.3,21.4,   .,   .,   .,   .,   .,   .
17,   .,1.3,   .,   .,1.7,2.2,   .,3.3,23.2,5,36.2,   .
18,3.3,9.4,   .,3.3,0.2,1.3,0,   .,43.3,20.3,3.3,39.2
19,   .,1.4,   .,0.2,0.1,14.3,10.3,   .,77.3,   .,42.3,   .
20,   .,65.4,   .,   .,   .,51.3,   .,   .,6.2,   .,   .,6.3
21,   .,21.4,3.3,   .,   .,12.2,   .,   .,   .,4.1,6.9,5.1
22,   .,10,22.3,   .,   .,6.3,   .,   .,   .,   .,61.3,9.2
23,   .,2.4,18.1,   .,1.2,   .,   .,   .,   .,   .,   .,93.3
24,   .,2.3,   .,2.1,   .,   .,   .,   .,   .,1,4.2,23.4
25,   .,   .,   .,   .,   .,   .,7.7,   .,53.2,31.3,   .,33.4
26,   .,9.4,2.1,   .,   .,1.3,   .,   .,23.3,11.3,   .,3.2
27,0.2,37.7,1.3,   .,   .,   .,   .,   .,10.2,   .,12.3,   .
28,   .,   .,   .,   .,1.2,   .,1.2,   .,8.8,   .,   .,   .
29,   .,,   .,   .,   .,   .,   .,41.3,3.2,   .,33.1,   .
30,10.3,,   .,   .,1.1,   .,77.3,   .,   .,   .,2.1,   .
31,1.3,,17.3,,39.1,,   .,10.4,,1.2,,   .
2011,,,,,,,,,,,,
1,   .,   .,   .,   .,   .,   .,1.2,   .,   .,   .,   .,   .
2,   .,   .,   .,   .,12.3,1.4,   .,2.2,3.1,   .,   .,0
3,   .,   .,   .,   .,   .,0.3,   .,   .,   .,   .,   .,3.3
4,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,0,4.2
5,   .,   .,   .,10.3,   .,   .,2.5,2.3,6.1,   .,4.3,3.1
6,   .,   .,   .,   .,   .,9.3,4.1,   .,10.3,   .,   .,3.2
7,12.3,   .,   .,   .,   .,   .,   .,   .,0.3,   .,11.2,   .
8,13.3,   .,   .,   .,   .,13.1,   .,   .,   .,39.3,10.3,   .
9,3.4,   .,   .,   .,   .,5.2,   .,   .,   .,0.3,3.3,   .
10,2.1,   .,   .,   .,   .,6.3,   .,   .,   .,   .,   .,0.2
11,14.3,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,0.1
12,3.3,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,3.2
13,   .,   .,   .,11.2,   .,1.2,   .,   .,   .,   .,   .,12.2
14,   .,10.3,34.3,   .,   .,   .,   .,   .,   .,   .,   .,3.4
15,   .,   .,11.2,   .,   .,   .,   .,   .,1.2,   .,   .,18.3
16,0.2,8.3,12.3,   .,31.2,   .,   .,   .,   .,   .,   .,3.3
17,   .,52.2,115.4,   .,   .,   .,   .,   .,   .,   .,   .,48.8
18,   .,2.2,3.3,   .,   .,   .,   .,   .,   .,   .,   .,   .
19,   .,   .,0.2,   .,   .,1.2,   .,   .,23.2,   .,   .,   .
20,   .,   .,   .,   .,   .,6.8,2.3,   .,14.2,31.3,   .,   .
21,   .,   .,   .,   .,   .,   .,4.1,   .,   .,22.2,   .,   .
22,   .,   .,   .,   .,   .,   .,9.3,   .,   .,   .,   .,   .
23,   .,   .,   .,   .,   .,   .,14.3,   .,   .,   .,   .,   .
24,   .,   .,   .,   .,   .,   .,41.2,   .,   .,   .,   .,   .
25,   .,   .,   .,   .,   .,   .,9.3,   .,   .,0.2,   .,0.3
26,   .,   .,   .,0.8,   .,   .,   .,   .,   .,14.2,   .,   .
27,2.2,   .,   .,0.1,   .,   .,   .,   .,   .,71.1,   .,   .
28,   .,0.6,3.2,   .,33.2,   .,16.3,   .,   .,   .,   .,   .
29,   .,,23.3,   .,   .,   .,2.1,   .,   .,   .,   .,   .
30,   .,,   .,   .,   .,   .,5,   .,   .,   .,   .,8.8
31,   .,,   .,,   .,,1.2,   .,,   .,,   .
2012,,,,,,,,,,,,
1,   .,   .,   .,   .,   .,   .,   .,   .,35,   .,87.3,   .
2,   .,0.2,   .,   .,   .,0,   .,   .,18.2,16.3,14.2,   .
3,39.1,   .,   .,0,   .,1.2,   .,   .,   .,5,   .,8.3
4,3.2,   .,   .,10.3,   .,   .,   .,   .,4.3,   .,0,   .
5,2.2,   .,   .,2.2,   .,2.1,   .,   .,   .,   .,85.3,41.3
6,1.3,   .,   .,8.8,3.3,0.1,   .,   .,   .,   .,13.1,   .
7,   .,   .,   .,3.2,57.9,   .,   .,   .,   .,   .,4.4,   .
8,   .,   .,   .,14.2,4.2,   .,   .,   .,   .,12.4,   .,33.2
9,   .,   .,   .,1.1,   .,   .,   .,   .,   .,   .,   .,   .
10,   .,   .,   .,   .,   .,4.3,   .,   .,   .,1.2,   .,   .
11,   .,   .,   .,3.3,   .,5.3,   .,   .,   .,11.2,   .,   .
12,   .,0.1,   .,33.4,   .,26.7,   .,0.1,   .,3.3,93.2,   .
13,   .,   .,   .,3.5,14.1,31.2,   .,   .,72.3,1.1,6.3,   .
14,   .,   .,   .,1.2,2.2,4.2,   .,   .,3.2,1.2,   .,7.1
15,   .,   .,   .,3.7,   .,   .,0.3,   .,   .,12.3,   .,41.3
16,   .,   .,   .,4.2,   .,   .,   .,   .,   .,53.2,   .,37.2
17,   .,   .,   .,2.3,14.3,   .,   .,   .,   .,   .,   .,   .
18,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,0.2,1.3
19,   .,   .,2.3,13.3,   .,   .,   .,   .,   .,   .,31.3,   .
20,0,14.1,0.2,13.4,   .,   .,   .,   .,75.3,   .,   .,   .
21,3.3,0.2,   .,2.1,0.4,   .,   .,   .,   .,   .,   .,   .
22,   .,   .,   .,   .,14.2,   .,0.1,   .,   .,   .,   .,   .
23,0.3,   .,   .,4.2,8.2,   .,   .,   .,   .,   .,   .,   .
24,1.4,   .,   .,   .,2.1,   .,   .,   .,   .,   .,   .,   .
25,   .,   .,   .,11.3,   .,   .,1.3,   .,13.3,   .,   .,   .
26,   .,   .,1.4,   .,   .,2.3,0.4,   .,   .,   .,   .,6.2
27,   .,0.1,   .,   .,   .,   .,   .,28.2,   .,114.2,   .,12.4
28,   .,   .,   .,   .,   .,   .,   .,   .,23.3,24.2,22.3,3.3
29,   .,   .,   .,   .,3.3,   .,   .,   .,1.2,3.3,33.4,   .
30,   .,,   .,   .,1.1,   .,   .,   .,2.3,   .,35.2,   .
31,   .,,   .,,   .,,   .,   .,,3.2,,   .
2013,,,,,,,,,,,,
