G, JAN,  FEB,  MAR,  APR,  MAY,  JUN,  JUL,  AUG, SEP,  OCT,  NOV,  DEC
2008,,,,,,,,,,,,
1,0.6,    .,2.4,   .,3.3,    .,   .,   .,  .,21.5,18.1,6.7
2,        .,0,0.3,   .,9.8,    .,   .,   .,  .,2.2,77.5,9.7
3,        .,47.1,   .,7.6,   .,1.6,   .,0.3,  .,0.8,   .,10.6
4,        .,21.1,0,0,0,0.7,   .,   .,  .,34.9,0,   .
5,0.6,16.1,5.5,   .,0.6,32.4,2.1,   .,0,   .,95.2,19.6
6,8.6,    .,   .,   .,0.5,6.8,   .,   .,13.8,   .,12.1,49.6
7,20.1,    .,0.9,0.2,   .,17.5,1.2,   .,  .,   .,12.2,1.1
8,5,    .,5.4,1.6,   .,1.8,3.2,   .,5.4,   .,3,   .
9,        .,    .,0.9,6.2,   .,0.1,0,23.3,  .,0.4,0.4,   .
10,0,    .,1.9,9.1,   .,    .,   .,   .,  .,   .,   .,0.4
11,0,    .,11.5,29,   .,    .,   .,   .,  .,   .,   .,33.7
12,35.8,    .,7.2,7,   .,12,   .,   .,  .,   .,1.3,79
13,16.5,    .,0.2,10.6,   .,2.8,   .,   .,7,   .,9.4,1.5
14,0.6,    .,   .,0.4,   .,0.3,12.8,   .,17.9,   .,8.1,12.7
15,0.5,    .,   .,4.4,   .,1.3,0.4,   .,  .,   .,   .,7.3
16,12.5,    .,0.7,8.8,3.3,    .,   .,54.3,  .,   .,   .,20.4
17,9,    .,5.1,29.4,0.1,1.2,   .,0.6,  .,9.6,   .,42.7
18,12.6,    .,3.2,7.2,4.1,22.2,1.2,   .,  .,15.6,   .,9.1
19,0.2,    .,4.4,29.5,6.1,1.7,11.6,   .,  .,   .,   .,1
20,        .,    .,   .,1.5,3.8,    .,   .,   .,  .,   .,   .,   .
21,        .,    .,   .,   .,9.2,    .,8,   .,0,   .,   .,   .
22,4.9,    .,26,20.3,21.6,    .,1.3,   .,0.2,0.5,0.7,   .
23,5.3,    .,2.1,10.9,4.6,    .,   .,   .,0,   .,   .,   .
24,        .,    .,27.6,4.1,0.8,    .,0,0.7,  .,   .,   .,   .
25,        .,    .,3.6,   .,0,    .,   .,   .,  .,   .,12.6,   .
26,        .,    .,0.4,6.2,   .,    .,   .,   .,0,   .,0,   .
27,        .,0.1,6.8,   .,   .,    .,0.1,   .,  .,   .,   .,   .
28,        .,0.2,1.4,   .,   .,    .,   .,   .,  .,21.2,   .,0
29,        .,    .,0,0.2,   .,0,0.1,   .,  .,7.8,30.6,   .
30,        .,,   .,11.8,0.3,    .,   .,   .,  .,20.5,9.3,   .
31,19.3,,   .,,   .,,0.1,   .,,4.3,,   .
2009,,,,,,,,,,,,
1,10.5,    .,   .,7.7,0.7,    .,   .,   .,  .,   .,   .,19.3
2,16,7.1,2.5,16.9,   .,    .,0,   .,  .,7.4,   .,11.6
3,        .,34.5,0.4,5.3,9.9,    .,0.6,   .,4.5,0.2,47.4,   .
4,        .,39.9,12.1,1.4,0.1,5.5,0.1,13.8,10,   .,0.3,   .
5,        .,3.2,18.8,3.2,   .,23.5,0.8,2.8,20.4,   .,34.1,5.4
6,        .,17.3,40.5,   .,   .,2.9,   .,   .,0,   .,9,   .
7,        .,3.9,0.5,   .,   .,0.4,5.2,   .,  .,   .,14.7,   .
8,6.1,16.8,   .,   .,   .,7.3,1.2,   .,  .,   .,   .,18.7
9,        .,5.1,   .,   .,   .,    .,21.3,   .,  .,   .,12,80.7
10,        .,    .,9.2,   .,   .,    .,0.2,   .,  .,1.7,4.2,   .
11,        .,30,   .,   .,   .,    .,3.7,32.6,  .,8.1,   .,   .
12,        .,0,1.5,   .,   .,5.6,   .,0,0.2,2.1,   .,   .
13,        .,    .,   .,   .,   .,    .,   .,   .,0.7,31.7,   .,   .
14,5.3,    .,   .,   .,   .,    .,   .,16,0,   .,   .,   .
15,2.9,    .,   .,0.1,   .,    .,   .,   .,31.5,   .,0,0
16,        .,    .,   .,   .,0.5,    .,   .,   .,0.6,   .,2,   .
17,        .,    .,   .,2.9,   .,    .,   .,   .,64.3,   .,0.6,   .
18,0.7,0.2,   .,   .,   .,    .,28.5,   .,0,   .,0.2,0
19,15.9,    .,   .,0,   .,    .,21.7,   .,  .,   .,0.4,4.4
20,16.5,    .,0.9,1,   .,0.9,   .,   .,  .,   .,   .,2.5
